ブロック見出し,項目,CSSのClass名,入るテキストやファイル名
Works,,,
,works_01,,
,,.p-portfolio__work-details-title,サンプルワーク タイトル
,,.p-portfolio__work-details-meta,2024年制作 / クライアント名
,,.p-portfolio__work-details-tags,WordPress|SCSS|Gulp|PHP|JavaScript
,,.p-portfolio__work-details-description,これはサンプルワークの説明文です。実際のプロジェクトでは、ここにプロジェクトの詳細や技術的な説明を記載します。
,,.p-portfolio__work-details-content .c-slider__slide,dummy.png|dummy.png:link|dummy.png|dummy.png:link
,works_02,,
,,.p-portfolio__work-details-title,サンプルワーク タイトル2
,,.p-portfolio__work-details-meta,2023年制作 / クライアント名2
,,.p-portfolio__work-details-tags,HTML|CSS|JavaScript|React
,,.p-portfolio__work-details-description,2つ目のサンプルワークの説明文です。複数のワークを登録する際の参考にしてください。
,,.p-portfolio__work-details-content .c-slider__slide,dummy.png|dummy.png
Tech Notes,,,
,note_01,,
,,.p-portfolio__note-title,サンプル技術ノート
,,.p-portfolio__note-text,これはサンプルの技術ノートです。実際のプロジェクトでは、技術的な学びや実装のポイント、課題解決のプロセスなどを記載します。
,note_02,,
,,.p-portfolio__note-title,サンプル技術ノート2
,,.p-portfolio__note-text,2つ目のサンプル技術ノートです。複数のノートを登録する際の参考にしてください。
About,,,
,about_01,,
,,.p-portfolio__about-name,サンプル 名前
,,.p-portfolio__about-role,Webエンジニア / フロントエンド
,,.p-portfolio__about-text,"これはサンプルの自己紹介文です。
実際のプロジェクトでは、ここに自分の経歴やスキル、仕事への取り組み方を記載します。複数行に分けて記載する場合は、csvで物理改行を入れてください。"
,,.p-portfolio__about-list,Web制作経験 10年|WordPress開発 8年|Gitでのバージョン管理 5年|アクセシビリティ対応可
,,.p-portfolio__about-hobbies-title,Interests and Skills
,,.p-portfolio__about-hobbies-text,読書、プログラミング、新しい技術の学習
Contact,,,
,contact_01,,
,,.p-portfolio__contact-email,sample@example.com
